FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,CANTIDAD
01/10/2021,13,BOLIVAR,13001,CARTAGENA,1
03/10/2021,13,BOLIVAR,13001,CARTAGENA,1
05/10/2021,13,BOLIVAR,13001,CARTAGENA,1
11/10/2021,13,BOLIVAR,13001,CARTAGENA,1
13/10/2021,13,BOLIVAR,13001,CARTAGENA,1
14/10/2021,13,BOLIVAR,13001,CARTAGENA,1
16/10/2021,13,BOLIVAR,13001,CARTAGENA,1
17/10/2021,13,BOLIVAR,13001,CARTAGENA,1
21/10/2021,13,BOLIVAR,13001,CARTAGENA,1
05/11/2021,13,BOLIVAR,13001,CARTAGENA,1
07/11/2021,13,BOLIVAR,13001,CARTAGENA,2
08/11/2021,13,BOLIVAR,13001,CARTAGENA,1
08/11/2021,13,BOLIVAR,13001,CARTAGENA,1
11/11/2021,13,BOLIVAR,13001,CARTAGENA,1
21/11/2021,13,BOLIVAR,13001,CARTAGENA,1
25/11/2021,13,BOLIVAR,13001,CARTAGENA,2
07/12/2021,13,BOLIVAR,13001,CARTAGENA,1
11/12/2021,13,BOLIVAR,13001,CARTAGENA,1
16/12/2021,13,BOLIVAR,13001,CARTAGENA,1
16/12/2021,13,BOLIVAR,13001,CARTAGENA,1
25/12/2021,13,BOLIVAR,13001,CARTAGENA,1
26/12/2021,13,BOLIVAR,13001,CARTAGENA,1
29/12/2021,13,BOLIVAR,13001,CARTAGENA,3
01/01/2022,13,BOLIVAR,13001,CARTAGENA,1
01/01/2022,13,BOLIVAR,13001,CARTAGENA,1
01/01/2022,13,BOLIVAR,13001,CARTAGENA,1
02/01/2022,13,BOLIVAR,13001,CARTAGENA,1
02/01/2022,13,BOLIVAR,13001,CARTAGENA,1
02/01/2022,13,BOLIVAR,13001,CARTAGENA,1
02/01/2022,18,CAQUETA,18150,CARTAGENA DEL CHAIRA,1
03/01/2022,13,BOLIVAR,13001,CARTAGENA,1
09/01/2022,13,BOLIVAR,13001,CARTAGENA,1
10/01/2022,13,BOLIVAR,13001,CARTAGENA,1
10/01/2022,13,BOLIVAR,13001,CARTAGENA,1
14/01/2022,13,BOLIVAR,13001,CARTAGENA,1
16/01/2022,13,BOLIVAR,13001,CARTAGENA,1
22/01/2022,13,BOLIVAR,13001,CARTAGENA,1
23/01/2022,13,BOLIVAR,13001,CARTAGENA,1
28/01/2022,13,BOLIVAR,13001,CARTAGENA,1
30/01/2022,13,BOLIVAR,13001,CARTAGENA,1
01/02/2022,13,BOLIVAR,13001,CARTAGENA,1
01/02/2022,13,BOLIVAR,13001,CARTAGENA,1
02/02/2022,13,BOLIVAR,13001,CARTAGENA,1
06/02/2022,13,BOLIVAR,13001,CARTAGENA,1
06/02/2022,13,BOLIVAR,13001,CARTAGENA,1
14/02/2022,13,BOLIVAR,13001,CARTAGENA,1
21/02/2022,13,BOLIVAR,13001,CARTAGENA,1
21/02/2022,13,BOLIVAR,13001,CARTAGENA,1
21/02/2022,13,BOLIVAR,13001,CARTAGENA,1
21/02/2022,13,BOLIVAR,13001,CARTAGENA,1
22/02/2022,13,BOLIVAR,13001,CARTAGENA,1
24/02/2022,13,BOLIVAR,13001,CARTAGENA,1
24/02/2022,13,BOLIVAR,13001,CARTAGENA,1
26/02/2022,13,BOLIVAR,13001,CARTAGENA,1
27/02/2022,13,BOLIVAR,13001,CARTAGENA,1
27/02/2022,13,BOLIVAR,13001,CARTAGENA,1
27/02/2022,13,BOLIVAR,13001,CARTAGENA,1
05/03/2022,13,BOLIVAR,13001,CARTAGENA,1
07/03/2022,13,BOLIVAR,13001,CARTAGENA,1
18/03/2022,13,BOLIVAR,13001,CARTAGENA,1
19/03/2022,13,BOLIVAR,13001,CARTAGENA,1
20/03/2022,13,BOLIVAR,13001,CARTAGENA,1
20/03/2022,13,BOLIVAR,13001,CARTAGENA,1
20/03/2022,13,BOLIVAR,13001,CARTAGENA,1
21/03/2022,13,BOLIVAR,13001,CARTAGENA,1
01/04/2022,13,BOLIVAR,13001,CARTAGENA,1
02/04/2022,13,BOLIVAR,13001,CARTAGENA,1
03/04/2022,13,BOLIVAR,13001,CARTAGENA,1
03/04/2022,13,BOLIVAR,13001,CARTAGENA,1
03/04/2022,13,BOLIVAR,13001,CARTAGENA,1
10/04/2022,13,BOLIVAR,13001,CARTAGENA,1
14/04/2022,13,BOLIVAR,13001,CARTAGENA,1
16/04/2022,13,BOLIVAR,13001,CARTAGENA,1
22/04/2022,13,BOLIVAR,13001,CARTAGENA,1
27/04/2022,13,BOLIVAR,13001,CARTAGENA,1
30/04/2022,13,BOLIVAR,13001,CARTAGENA,1
03/05/2022,13,BOLIVAR,13001,CARTAGENA,1
03/05/2022,13,BOLIVAR,13001,CARTAGENA,1
16/05/2022,13,BOLIVAR,13001,CARTAGENA,1
18/05/2022,13,BOLIVAR,13001,CARTAGENA,1
18/05/2022,13,BOLIVAR,13001,CARTAGENA,1
25/05/2022,13,BOLIVAR,13001,CARTAGENA,1
31/05/2022,13,BOLIVAR,13001,CARTAGENA,1
04/06/2022,13,BOLIVAR,13001,CARTAGENA,1
