FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,CANTIDAD
02/10/2021,47,MAGDALENA,47001,SANTA MARTA,1
03/10/2021,47,MAGDALENA,47001,SANTA MARTA,5
18/10/2021,47,MAGDALENA,47001,SANTA MARTA,2
23/10/2021,47,MAGDALENA,47001,SANTA MARTA,1
23/10/2021,47,MAGDALENA,47001,SANTA MARTA,1
26/10/2021,47,MAGDALENA,47001,SANTA MARTA,1
30/10/2021,47,MAGDALENA,47001,SANTA MARTA,1
06/11/2021,47,MAGDALENA,47001,SANTA MARTA,1
09/11/2021,47,MAGDALENA,47001,SANTA MARTA,1
16/11/2021,47,MAGDALENA,47001,SANTA MARTA,2
17/11/2021,47,MAGDALENA,47001,SANTA MARTA,1
20/11/2021,47,MAGDALENA,47001,SANTA MARTA,1
23/11/2021,47,MAGDALENA,47001,SANTA MARTA,1
29/11/2021,47,MAGDALENA,47001,SANTA MARTA,1
08/12/2021,47,MAGDALENA,47001,SANTA MARTA,1
12/12/2021,47,MAGDALENA,47001,SANTA MARTA,1
16/12/2021,47,MAGDALENA,47001,SANTA MARTA,2
18/12/2021,47,MAGDALENA,47001,SANTA MARTA,1
21/12/2021,47,MAGDALENA,47001,SANTA MARTA,1
26/12/2021,47,MAGDALENA,47001,SANTA MARTA,1
27/12/2021,47,MAGDALENA,47001,SANTA MARTA,1
31/12/2021,47,MAGDALENA,47001,SANTA MARTA,1
31/12/2021,47,MAGDALENA,47001,SANTA MARTA,1
10/01/2022,47,MAGDALENA,47001,SANTA MARTA,1
13/01/2022,47,MAGDALENA,47001,SANTA MARTA,1
16/01/2022,47,MAGDALENA,47001,SANTA MARTA,1
16/01/2022,47,MAGDALENA,47001,SANTA MARTA,1
17/01/2022,47,MAGDALENA,47001,SANTA MARTA,1
19/01/2022,47,MAGDALENA,47001,SANTA MARTA,1
26/01/2022,47,MAGDALENA,47001,SANTA MARTA,1
07/02/2022,47,MAGDALENA,47001,SANTA MARTA,1
11/02/2022,47,MAGDALENA,47001,SANTA MARTA,1
15/02/2022,47,MAGDALENA,47001,SANTA MARTA,1
20/02/2022,47,MAGDALENA,47001,SANTA MARTA,1
23/02/2022,47,MAGDALENA,47001,SANTA MARTA,1
01/03/2022,47,MAGDALENA,47001,SANTA MARTA,1
03/03/2022,47,MAGDALENA,47001,SANTA MARTA,1
06/03/2022,47,MAGDALENA,47001,SANTA MARTA,1
13/03/2022,47,MAGDALENA,47001,SANTA MARTA,1
19/03/2022,47,MAGDALENA,47001,SANTA MARTA,2
21/03/2022,47,MAGDALENA,47001,SANTA MARTA,1
25/03/2022,47,MAGDALENA,47001,SANTA MARTA,1
28/03/2022,47,MAGDALENA,47001,SANTA MARTA,1
02/04/2022,47,MAGDALENA,47001,SANTA MARTA,1
03/04/2022,47,MAGDALENA,47001,SANTA MARTA,1
06/04/2022,47,MAGDALENA,47001,SANTA MARTA,1
09/04/2022,47,MAGDALENA,47001,SANTA MARTA,1
10/04/2022,47,MAGDALENA,47001,SANTA MARTA,1
11/04/2022,47,MAGDALENA,47001,SANTA MARTA,1
17/04/2022,47,MAGDALENA,47001,SANTA MARTA,1
18/04/2022,47,MAGDALENA,47001,SANTA MARTA,1
20/04/2022,47,MAGDALENA,47001,SANTA MARTA,1
23/04/2022,47,MAGDALENA,47001,SANTA MARTA,1
05/05/2022,47,MAGDALENA,47001,SANTA MARTA,1
15/05/2022,47,MAGDALENA,47001,SANTA MARTA,1
18/05/2022,47,MAGDALENA,47001,SANTA MARTA,1
20/05/2022,47,MAGDALENA,47001,SANTA MARTA,1
26/05/2022,47,MAGDALENA,47001,SANTA MARTA,1
26/05/2022,47,MAGDALENA,47001,SANTA MARTA,1
28/05/2022,47,MAGDALENA,47001,SANTA MARTA,1
29/05/2022,47,MAGDALENA,47001,SANTA MARTA,1
11/06/2022,47,MAGDALENA,47001,SANTA MARTA,1
11/06/2022,47,MAGDALENA,47001,SANTA MARTA,1
11/06/2022,47,MAGDALENA,47001,SANTA MARTA,1
15/06/2022,47,MAGDALENA,47001,SANTA MARTA,1
03/07/2022,47,MAGDALENA,47001,SANTA MARTA,1
04/07/2022,47,MAGDALENA,47001,SANTA MARTA,1
08/07/2022,47,MAGDALENA,47001,SANTA MARTA,1
22/07/2022,47,MAGDALENA,47001,SANTA MARTA,1
31/07/2022,47,MAGDALENA,47001,SANTA MARTA,1
31/07/2022,47,MAGDALENA,47001,SANTA MARTA,1
31/07/2022,47,MAGDALENA,47001,SANTA MARTA,1
01/08/2022,47,MAGDALENA,47001,SANTA MARTA,1
03/08/2022,47,MAGDALENA,47001,SANTA MARTA,1
14/08/2022,47,MAGDALENA,47001,SANTA MARTA,1
19/08/2022,47,MAGDALENA,47001,SANTA MARTA,1
19/08/2022,47,MAGDALENA,47001,SANTA MARTA,1
05/09/2022,47,MAGDALENA,47001,SANTA MARTA,1
07/09/2022,47,MAGDALENA,47001,SANTA MARTA,1
23/09/2022,47,MAGDALENA,47001,SANTA MARTA,1
29/09/2022,47,MAGDALENA,47001,SANTA MARTA,1
02/10/2022,47,MAGDALENA,47001,SANTA MARTA,1
09/10/2022,47,MAGDALENA,47001,SANTA MARTA,1
11/10/2022,47,MAGDALENA,47001,SANTA MARTA,1
22/10/2022,47,MAGDALENA,47001,SANTA MARTA,1
22/10/2022,47,MAGDALENA,47001,SANTA MARTA,1
22/10/2022,47,MAGDALENA,47001,SANTA MARTA,1
03/11/2022,47,MAGDALENA,47001,SANTA MARTA,1
06/11/2022,47,MAGDALENA,47001,SANTA MARTA,1
06/11/2022,47,MAGDALENA,47001,SANTA MARTA,1
14/11/2022,47,MAGDALENA,47001,SANTA MARTA,3
14/11/2022,47,MAGDALENA,47001,SANTA MARTA,1
27/11/2022,47,MAGDALENA,47001,SANTA MARTA,1
27/11/2022,47,MAGDALENA,47001,SANTA MARTA,1
28/11/2022,47,MAGDALENA,47001,SANTA MARTA,1
03/12/2022,47,MAGDALENA,47001,SANTA MARTA,1
03/12/2022,47,MAGDALENA,47001,SANTA MARTA,1
03/12/2022,47,MAGDALENA,47001,SANTA MARTA,3
09/12/2022,47,MAGDALENA,47001,SANTA MARTA,2
12/12/2022,47,MAGDALENA,47001,SANTA MARTA,1
15/12/2022,47,MAGDALENA,47001,SANTA MARTA,1
15/12/2022,47,MAGDALENA,47001,SANTA MARTA,1
19/12/2022,47,MAGDALENA,47001,SANTA MARTA,1
26/12/2022,47,MAGDALENA,47001,SANTA MARTA,1
03/01/2023,47,MAGDALENA,47001,SANTA MARTA,1
11/01/2023,47,MAGDALENA,47001,SANTA MARTA,1
11/01/2023,47,MAGDALENA,47001,SANTA MARTA,1
12/01/2023,47,MAGDALENA,47001,SANTA MARTA,1
18/01/2023,47,MAGDALENA,47001,SANTA MARTA,1
18/01/2023,47,MAGDALENA,47001,SANTA MARTA,1
26/01/2023,47,MAGDALENA,47001,SANTA MARTA,1
31/01/2023,47,MAGDALENA,47001,SANTA MARTA,1
02/02/2023,47,MAGDALENA,47001,SANTA MARTA,1
04/02/2023,47,MAGDALENA,47001,SANTA MARTA,1
04/02/2023,47,MAGDALENA,47001,SANTA MARTA,1
