FECHA HECHO;COD_DEPTO;DEPARTAMENTO;COD_MUNI;MUNICIPIO;CANTIDAD;AÑO;AÑO_MES;DIA;AÑO_SEMANA
2021-10-02;47;MAGDALENA;47001;SANTA MARTA;1;2021;2021-10;2;2021-W39
2021-10-03;47;MAGDALENA;47001;SANTA MARTA;5;2021;2021-10;3;2021-W40
2021-10-18;47;MAGDALENA;47001;SANTA MARTA;2;2021;2021-10;18;2021-W42
2021-10-23;47;MAGDALENA;47001;SANTA MARTA;1;2021;2021-10;23;2021-W42
2021-10-23;47;MAGDALENA;47001;SANTA MARTA;1;2021;2021-10;23;2021-W42
2021-10-26;47;MAGDALENA;47001;SANTA MARTA;1;2021;2021-10;26;2021-W43
2021-10-30;47;MAGDALENA;47001;SANTA MARTA;1;2021;2021-10;30;2021-W43
2021-11-06;47;MAGDALENA;47001;SANTA MARTA;1;2021;2021-11;6;2021-W44
2021-11-09;47;MAGDALENA;47001;SANTA MARTA;1;2021;2021-11;9;2021-W45
2021-11-16;47;MAGDALENA;47001;SANTA MARTA;2;2021;2021-11;16;2021-W46
2021-11-17;47;MAGDALENA;47001;SANTA MARTA;1;2021;2021-11;17;2021-W46
2021-11-20;47;MAGDALENA;47001;SANTA MARTA;1;2021;2021-11;20;2021-W46
2021-11-23;47;MAGDALENA;47001;SANTA MARTA;1;2021;2021-11;23;2021-W47
2021-11-29;47;MAGDALENA;47001;SANTA MARTA;1;2021;2021-11;29;2021-W48
2021-12-08;47;MAGDALENA;47001;SANTA MARTA;1;2021;2021-12;8;2021-W49
2021-12-12;47;MAGDALENA;47001;SANTA MARTA;1;2021;2021-12;12;2021-W50
2021-12-16;47;MAGDALENA;47001;SANTA MARTA;2;2021;2021-12;16;2021-W50
2021-12-18;47;MAGDALENA;47001;SANTA MARTA;1;2021;2021-12;18;2021-W50
2021-12-21;47;MAGDALENA;47001;SANTA MARTA;1;2021;2021-12;21;2021-W51
2021-12-26;47;MAGDALENA;47001;SANTA MARTA;1;2021;2021-12;26;2021-W52
2021-12-27;47;MAGDALENA;47001;SANTA MARTA;1;2021;2021-12;27;2021-W52
2021-12-31;47;MAGDALENA;47001;SANTA MARTA;1;2021;2021-12;31;2021-W52
2021-12-31;47;MAGDALENA;47001;SANTA MARTA;1;2021;2021-12;31;2021-W52
2022-01-10;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-01;10;2022-W02
2022-01-13;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-01;13;2022-W02
2022-01-16;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-01;16;2022-W03
2022-01-16;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-01;16;2022-W03
2022-01-17;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-01;17;2022-W03
2022-01-19;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-01;19;2022-W03
2022-01-26;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-01;26;2022-W04
2022-02-07;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-02;7;2022-W06
2022-02-11;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-02;11;2022-W06
2022-02-15;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-02;15;2022-W07
2022-02-20;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-02;20;2022-W08
2022-02-23;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-02;23;2022-W08
2022-03-01;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-03;1;2022-W09
2022-03-03;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-03;3;2022-W09
2022-03-06;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-03;6;2022-W10
2022-03-13;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-03;13;2022-W11
2022-03-19;47;MAGDALENA;47001;SANTA MARTA;2;2022;2022-03;19;2022-W11
2022-03-21;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-03;21;2022-W12
2022-03-25;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-03;25;2022-W12
2022-03-28;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-03;28;2022-W13
2022-04-02;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-04;2;2022-W13
2022-04-03;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-04;3;2022-W14
2022-04-06;47;MAGDALENA;47001;SANTA MARTA;1;2022;2022-04;6;2022-W14
